Company,Valuation,Industry,City,Country,Continent,Funding,Select Investors
Bytedance,180000000000,Artificial intelligence,Beijing,China,Asia,8000000000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,100000000000,Other,Hawthorne,United States,North America,7000000000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,100000000000,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2000000000,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,95000000000,Fintech,San Francisco,United States,North America,2000000000,"Khosla Ventures, LowercaseCapital, capitalG"
Klarna,46000000000,Fintech,Stockholm,Sweden,Europe,4000000000,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,40000000000,Internet software & services,Surry Hills,Australia,Oceania,572000000,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,40000000000,Fintech,London,United Kingdom,Europe,2000000000,"Tiger Global Management, Insight Partners, DST Global"
Instacart,39000000000,"Supply chain, logistics, & delivery",San Francisco,United States,North America,3000000000,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,38000000000,Consumer & retail,San Francisco,United States,North America,14000000000,Tiger Global Management
Databricks,38000000000,Data management & analytics,San Francisco,United States,North America,3000000000,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,33000000000,Fintech,London,United Kingdom,Europe,2000000000,"index Ventures, DST Global, Ribbit Capital"
Epic Games,32000000000,Other,Cary,United States,North America,7000000000,"Tencent Holdings, KKR, Smash Ventures"
FTX,32000000000,Fintech,,Bahamas,North America,2000000000,"Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,27000000000,E-commerce & direct-to-consumer,Jacksonville,United States,North America,4000000000,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,25000000000,Fintech,San Francisco,United States,North America,2000000000,"Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,22000000000,Edtech,Bengaluru,India,Asia,4000000000,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,20000000000,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,5000000000,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,20000000000,E-commerce & direct-to-consumer,Shanghai,China,Asia,918000000,"GGV Capital, ZhenFund, Tencent"
Miro,18000000000,Internet software & services,San Francisco,United States,North America,476000000,"Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,17000000000,Edtech,Beijing,China,Asia,4000000000,"Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,15000000000,Fintech,London,United Kingdom,Europe,770000000,"Target Global, General Catalyst, Durable Capital Partners"
Discord,15000000000,Internet software & services,San Francisco,United States,North America,979000000,"Benchmark, Greylock Partners, Tencent Holdings"
Genki Forest,15000000000,Consumer & retail,Beijing,China,Asia,721000000,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
goPuff,15000000000,E-commerce & direct-to-consumer,Philadelphia,United States,North America,3000000000,"Accel, Softbank Group, Anthos Capital"
Blockchain.com,14000000000,Fintech,London,United Kingdom,Europe,490000000,"Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,13000000000,Fintech,San Francisco,United States,North America,734000000,"New Enterprise Associates, Spar Capital, Index Ventures"
Devoted Health,13000000000,Health,Waltham,United States,North America,2000000000,"Andreessen Horowitz, F-Prime Capital, Venrock"
OpenSea,13000000000,E-commerce & direct-to-consumer,New York,United States,North America,427000000,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,13000000000,Internet software & services,San Francisco,United States,North America,400000000,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Argo AI,12000000000,Artificial intelligence,Pittsburgh,United States,North America,4000000000,"Volkswagen Group, Ford Autonomous Vehicles"
Northvolt,12000000000,Other,Stockholm,Sweden,Europe,4000000000,"Vattenfall, Volkswagen Group, Goldman Sachs"
Faire,12000000000,Artificial intelligence,San Francisco,United States,North America,1000000000,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Airtable,12000000000,Internet software & services,San Francisco,United States,North America,1000000000,"Caffeinated Capital, CRV, Founder Collective"
Brex,12000000000,Fintech,San Francisco,United States,North America,1000000000,"DST Global, Ribbit Capital, Greenoaks Capital Management"
Getir,12000000000,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2000000000,"Tiger Global Management, Sequoia Capital, Revo Capital"
Biosplice Therapeutics,12000000000,Health,San Diego,United States,North America,799000000,"Vickers Venture Partners, IKEA GreenTech"
Bitmain,12000000000,Hardware,Beijing,China,Asia,765000000,"Coatue Management, Sequoia Capital China, IDG Capital"
GoodLeap,12000000000,Internet software & services,Roseville,United States,North America,800000000,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
